Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity,Alternate Art 2,Rarity
hBP05-001,"白銀ノエル
(Shirogane Noel)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: Knights of Shirogane
[1/Turn]Usable if your holomem downed your opponent's holomem: Reveal 1 holomem with #Gen 3 from your deck, and add it to hand. Then, shuffle your deck.

SP Oshi Skill holo Power -2: This Is Super Bad, Huh?
[1/Game]Usable if your holomem with #Gen 3 is downed during your opponent's turn: You take -1 life damage. If that holomem is a Buzz holomem or 2nd holomem, draw 2 cards.",,OUR,,
hBP05-002,"アイラニ・イオフィフティーン
(Airani Iofifteen)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -1: IOFORIA~!
[1/Turn]Usable if your holomem with #ID Gen 1 would take damage from the opponent during the opponent's turn: Reattach 1 of that holomem's cheers to your other holomem with #ID Gen 1, then resolve the damage.

SP Oshi Skill holo Power -3: Kekuatan Iofi
[1/Game]By archiving 2 cheers from your stage, reveal 2 holomem with #ID Gen 1 from your deck, and add them to hand. Then, shuffle the deck.",,OUR,,SEC
hBP05-003,"尾丸ポルカ
(Omaru Polka)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -2: Legend of Polka
[1/Turn]Draw cards until your hand has the same number as the number of <Troupe Member> on your stage. However, only up to 4 cards can be drawn.

SP Oshi Skill holo Power -2: Successful Experience!!!
[1/Game]Look at the top 7 cards of your deck. Reveal 1 [<Omaru Polka> and/or Staff] each from among them, and add the revealed cards to hand. Then, archive the remaining cards.",,OUR,,SEC
hBP05-004,"猫又おかゆ
(Nekomata Okayu)",,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -1: Here We Go
[1/Turn]Usable if your center holomem is <Nekomata Okayu>: Deal 10 special damage to 1 of your opponent's holomem.

SP Oshi Skill holo Power -3: Yum, Yum!
[1/Game]You may swap your opponent's center holomem with 1 back holomem whose HP is reduced. If your center holomem is <Nekomata Okayu>, draw 3 cards.",,OUR,,
hBP05-005,"癒月ちょこ
(Yuzuki Choco)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -1: Be Smitten by Choco!
[1/Turn]Reveal 1 event with #Food from your deck, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Cooking with Choco
[1/Game]Return 1~4 events with #Food from your archive to hand. During this turn, all of your holomem on stage with #Cooking get Arts+40.",,OUR,,SEC
hBP05-006,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -1: Liebesträume
[1/Turn]During this turn, your [center holomem and collab holomem] with #Singing get Arts+10.

SP Oshi Skill holo Power -4: Shoot for the Moon
[1/Game]During this game, all of your <Nerissa Ravencroft> require -1 colorless for their Arts.

[SEC version only available in EN]",,OUR,,SEC
hBP05-007,"不知火フレア
(Shiranui Flare)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: I Want to Be Your Source of Comfort
[1/Turn]Swap your collab position [Debut holomem, 1st holomem or Spot holomem] with 1 <Shiranui Flare> back holomem.

SP Oshi Skill holo Power -2: Let's Get This Party Started!
[1/Game]You may reattach 1~5 cheers from your stage to 1 of your <Shiranui Flare>. During this turn, all of your holomem on stage get Arts+10 for each of your center holomem's cheers.",,OUR,,
hBP05-008,"白銀ノエル
(Shirogane Noel)",,Debut holomem,U,White,100,#JP #Gen 3 #Alcohol,"Gift: Muscle Muscle
[Collab Position Only]Your Debut holomem with #Gen 3 in the center position takes -20 damage.

Arts: Fun Times!
Cost: 1 any color
Power: 20",,,,
hBP05-009,"白銀ノエル
(Shirogane Noel)",,Debut holomem,C,White,90,#JP #Gen 3 #Alcohol,"Collab Effect: End of Summer
If you went second and it is your first turn, reveal 1 1st holomem <Shirogane Noel> from your deck, and add it to hand. Then, shuffle the deck.

Arts: Memories of Summer
Cost: 1 any color
Power: 30",,,,
hBP05-010,"白銀ノエル
(Shirogane Noel)",,1st holomem,U,White,140,#JP #Gen 3 #Alcohol,"Gift: Fighting Commander
[Collab Position Only]While you have a center holomem with #Gen 3, your opponent's holomem's Arts can only target your collab holomem. However, it excludes special damage.

Arts: The Power to Survive
Cost: 2 any color
Power: 20+
If you have used <Beef Bowl> this turn, this Arts gets +30.",,,,
