Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity
hBP07-001,"角巻わため
(Tsunomaki Watame)",,Oshi holomem,OSR,White,5,,"Oshi Stage Skill: Do-do-drive
When your <Tsunomaki Watame> uses Arts, put the top card of your deck as holo Power.

Oshi Skill holo Power -6: Shall I do a Horn Drill?
[1/Turn]During this turn, all <Tsunomaki Watame> on your stage get Arts+100.",,OUR
hBP07-002,"ベスティア・ゼータ
(Vestia Zeta)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -3: Good Luck, holoh3ro!
[1/Turn]Choose 1 holomem on your stage. During this turn, the chosen holomem gets Arts+50. If that holomem is a Buzz holomem with #ID Gen 3, that holomem gets Arts+80 instead.

SP Oshi Skill holo Power -2: Because nothing is impossible!
[1/Game]Choose any number of [mascots and fans] from your archive, and attach them to 1 of your holomem with #ID Gen 3. If you attach 3 or more, during this turn, that holomem gets Arts+100.

[OUR is the same as SEC but without the signature]",,SEC
hBP07-003,"大神ミオ
(Ookami Mio)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -1: Guidance of the Divine Talisman
[1/Turn]Look at the top 2 cards of your deck. Add 1 card from among them to hand. Then, return the remaining card to the top of the deck.

SP Oshi Skill holo Power -2: Everyone's Mama
[1/Game]Look at the top 6 cards of your deck. Add 3 cards from among them to hand. Then, return the remaining cards to the top of the deck in any order. Restore 50 HP to all of your holomem.

[OUR is the same as SEC but without the signature]",,SEC
hBP07-004,"赤井はあと
(Akai Haato)",,Oshi holomem,OSR,Red,5,,"Oshi Stage Skill: Haachama Now
[1/Turn]During your turn, when your <Akai Haato> returns from your stage to deck using your ability, draw 2 cards.

Oshi Skill holo Power -2: Worldwide Strongest Idol!
[1/Turn]Return 1 Debut holomem <Akai Haato> from your back position to the bottom of your deck. Choose 1 <Akai Haato> on your stage. During this turn, the chosen holomem gets Arts+50.",,OUR
hBP07-005,"オーロ・クロニー
(Ouro Kronii)",,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -2: On the Rings of Oblivion
[1/Turn]Draw the bottom 2 cards of your deck, and archive 1 card from your hand.

SP Oshi Skill holo Power -4: Warden of Time
[1/Game]If your center holomem is a 2nd holomem <Ouro Kronii>, take an extra turn after this one.",,OUR
hBP07-006,AZKi,,Oshi holomem,OSR,Purple,5,,"Oshi Stage Skill: ETERNiTY FRONTiER
Your center holomem <AZKi> gets Arts+20 for each of your holo Power.

Oshi Skill holo Power -1: Let's go, Pioneers.
[1/Turn]If your holomem was downed during your opponent's previous turn, reveal 1 event from your deck and add it to hand. Then, shuffle the deck.

[OUR is the same as SEC but without the signature]",,SEC
hBP07-007,"桃鈴ねね
(Momosuzu Nene)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: Super NePoLaBo Energy
[1/Turn]Send 1 cheer from your archive to each of your 2nd holomem with #Gen 5.

SP Oshi Skill holo Power -1: Nenechi's Great Rampage!
[1/Game]Reveal 1~4 Debut holomem <Momosuzu Nene> from your deck, and place them on stage. Then, shuffle the deck.

[OUR is the same as SEC but without the signature]",,SEC
hBP07-008,"角巻わため
(Tsunomaki Watame)",,Debut holomem,C,White,120,#JP #Gen 4 #Kemomimi #Singing,"Collab Effect: Once More
If you went second and it is your first turn, choose 1 of your <Tsunomaki Watame>. During this turn, after the chosen holomem used Arts, use the same Arts once more.

Arts: Spring Sheep
Cost: 1 any color
Power: 20",,
hBP07-009,"角巻わため
(Tsunomaki Watame)",,Debut holomem,U,White,130,#JP #Gen 4 #Kemomimi #Singing,"Arts: Gabu gabu!
Cost: 1 white
Power: 20+
[Center Position Only]This Arts gets +20.",,
hBP07-010,"角巻わため
(Tsunomaki Watame)",,1st holomem,C,White,170,#JP #Gen 4 #Kemomimi #Singing,"Collab Effect: Everyone! Let's Have Fun!!!!
Put the top card of your deck as holo Power. Look at your holo Power, and add 1 card from among them to hand. Then, shuffle your holo Power.

Arts: I Wonder If I Can Hear Everyone's Voices???????
Cost: 1 white
Power: 40",,
hBP07-011,"角巻わため
(Tsunomaki Watame)",,1st holomem,C,White,140,#JP #Gen 4 #Kemomimi #Singing,"Bloom Effect: Guruguru Sheep
Reveal 1 1st holomem <Tsunomaki Watame> from your deck, and add it to hand. Then, shuffle the deck. You may only use Bloom Effect ""Guruguru Sheep"" once per turn.

Arts: This button's about to pop
Cost: 3 any color
Power: 70
If this holomem has 2 white cheers attached, this Arts requires -1 colorless.",,
hBP07-012,"角巻わため
(Tsunomaki Watame)",,1st holomem,R,White,190,#JP #Gen 4 #Kemomimi #Singing,"Bloom Effect: WataBeeeeeeeeam!!!!!!
Deal 30 special damage to your opponent's center holomem or collab holomem. Your opponent draws 1 card.

Arts: WataCannon too!
Cost: 1 any color
Power: 20
Draw 1 card.",,
hBP07-013,"角巻わため
(Tsunomaki Watame)",,2nd holomem,U,White,210,#JP #Gen 4 #Kemomimi #Singing,"Collab Effect: Have A Nice Day!!!
During this turn, all <Tsunomaki Watame> on your stage get Arts+20. If 6 or more cheers are attached to your center holomem, draw 2 cards.

Arts: Thank You Oversheep!
Cost: 2 any color
Power: 90+, +50 vs purple
This Arts gets +50 for each <Watamates> attached to this holomem.",,
hBP07-014,"角巻わため
(Tsunomaki Watame)",,2nd holomem,RR,White,200,#JP #Gen 4 #Kemomimi #Singing,"Gift: Cute Sexy
This holomem gets +10 HP for each holomem stacked to this holomem.

Arts: Headshot with the Watame Hammer!
Cost: 2 white, 1 any color
Power: 160, +50 vs red
[Center Position Only]If your opponent's holomem is downed by this Arts, and the dealt damage was greater than the remaining HP, deal special damage to 1 of your opponent's 2nd holomem equal to the excess damage.",,UR
hBP07-015,"ベスティア・ゼータ
(Vestia Zeta)",,Debut holomem,C,White,130,#ID #ID Gen 3,"Collab Effect: Adopt Me?
If you went second and it is your first turn, reveal 1 Buzz holomem with #ID Gen 3 from your deck, and add it to hand. Then, shuffle the deck.

Arts: I found a stray cat~
Cost: 1 any color
Power: 20",,
hBP07-016,"ベスティア・ゼータ
(Vestia Zeta)",,Debut holomem,U,White,120,#ID #ID Gen 3,"Gift: Pat the BAZO
If this holomem has a mascot attached, this holomem gets +30 HP.

Arts: So, Tell Me Your Secrets?
Cost: 1 white
Power: 20",,
hBP07-017,"ベスティア・ゼータ
(Vestia Zeta)",,1st holomem,C,White,170,#ID #ID Gen 3,"Gift: holoh3ro Shopping
[Center Position Only]When your Buzz holomem with #ID Gen 3 collabs, choose 1 holomem on your stage. The chosen holomem gets Arts+30.

Arts: I like spending time with everyone
Cost: 2 any color
Power: 50",,
hBP07-018,"ベスティア・ゼータ
(Vestia Zeta)",,1st holomem,C,White,160,#ID #ID Gen 3,"Collab Effect: Horse Doko?
Reveal the top card of your deck. If the revealed card is a support card, add it to your hand. If it is not a support card, return it to the top of the deck.

Arts: Umami~ Umami~♪
Cost: 1 white
Power: 30+
If you have used an event this turn, this Arts gets +30.",,
hBP07-019,"ベスティア・ゼータ
(Vestia Zeta)",,1st Buzz holomem,R,White,230,#ID #ID Gen 3,"Bloom Effect: All set!
Reveal 1 [<BAZO> or <Zecretary>] from your deck, and attach it to your <Vestia Zeta>. Then, shuffle the deck.

Arts: hololive ID's first Dance Queen
Cost: 1 white, 1 any color
Power: 50
If this holomem has a mascot or fan attached, draw 1 card.

Extra: If this holomem is downed, you get life-2",,
hBP07-020,"ベスティア・ゼータ
(Vestia Zeta)",,2nd holomem,U,White,200,#ID #ID Gen 3,"Collab Effect: Ya ya ya ya ya~!
Roll a die once. If it is odd, set your opponent's 2nd holomem in the center position's remaining HP to 100.

Arts: I want to perform more!
Cost: 2 white
Power: 100, +50 vs red",,
hBP07-021,"ベスティア・ゼータ
(Vestia Zeta)",,2nd holomem,RR,White,200,#ID #ID Gen 3,"Bloom Effect: Will You Assist Me in This Mission?
Attach 1 [<BAZO> or <Zecretary>] from your archive to your holomem.

Arts: Supreme Secret Agent
Cost: 2 white, 2 any color
Power: 160+, +50 vs purple
If you have a Buzz holomem with #ID Gen 3 on your stage, this Arts gets +40.",,UR
hBP07-022,"白銀ノエル
(Shirogane Noel)",,2nd holomem,R,White,220,#JP #Gen 3 #Alcohol,"Gift: Muscles never betray you!
[Collab Position Only]During your opponent's turn, when your center holomem with #Gen 3 is downed, return all of the stacked holomem including that downed holomem to hand.

Arts: I'll be full of energy all the way
Cost: 1 white
Power: 50, +50 vs purple
Choose 1 of your holomem with #Gen 3. During this turn, the chosen holomem requires -1 colorless for its Arts. If that holomem is a 2nd <Shirogane Noel>, it requires -2 colorless for its Arts instead.",,
hBP07-023,"大神ミオ
(Ookami Mio)",,Debut holomem,C,Green,120,#JP #GAMERS #Kemomimi #Cooking,"Collab Effect: Fortune telling power injection!
If you went second and it is your first turn, look at the top 3 cards of your deck. Add 1 card from among them to hand. Then, return the remaining cards to the top of the deck in any order.

Arts: MIOON!
Cost: 1 any color
Power: 30",,
