Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Baton Pass,Text,Alternate Art,Rarity
hEB01-001,"ときのそら
(Tokino Sora)",,Oshi holomem,OSR,Red,5,,,"Oshi Stage Skill: Seaside Venus
At the end of your turn, if your center holomem and collab holomem are <Tokino Sora>, put the top card of your deck as holo Power. Additionally, if you have a 2nd holomem on your stage, draw 1 card.

Oshi Skill holo Power -4: Sudden Romance
[1/Turn] Choose 1 <Tokino Sora> on your stage. Bloom the chosen holomem using a <Tokino Sora> from your deck. Shuffle your deck. During this turn, the chosen holomem requires -1 colorless for its Arts.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-002,"宝鐘マリン
(Houshou Marine)",,Oshi holomem,OSR,Blue,5,,,"Oshi Stage Skill: Return of the Seductress
At the beginning of your performance phase, if you have a collab holomem, you may bloom your center holomem <Houshou Marine> that bloomed this turn once more using a blue holomem from your hand.

Oshi Skill holo Power -2: Uh, Was That a Little Too Spicy for You?
[1/Turn] Deal 50 special damage to 1 of your opponent's back holomem other than Debut. If 3 or more holomem are stacked to your center holomem, deal 50 special damage to 1 of your opponent's back holomem other than Debut.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-003,"博衣こより
(Hakui Koyori)",,Oshi holomem,OSR,Yellow,5,,,"Oshi Stage Skill: ""Koyo Color Observation""-- Assistants Only
Increase the number of cards revealed from the top of your deck by your Oshi Skill and the abilities of your yellow <Hakui Koyori> by +1 for each <Koyori's Assistants> on your stage.

Oshi Skill holo Power -2: Analysis Complete! Private Area for Two
[1/Turn] Reveal cards from the top of your deck equal to the number of cheers on your stage. If there are 3 or more holomem among the revealed cards, during this turn, all <Hakui Koyori> on your stage get Arts+30. Add all revealed holomem other than Debut to your hand, and archive the remaining cards.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-004,"ときのそら
(Tokino Sora)",,Debut holomem,C,Red,130,#JP #Gen 0 #Singing #Summer,1,"Arts: A Comfortable Sense of Distance
Cost: 1 red
Power: 20
Draw 1 card.",,
hEB01-005,"ときのそら
(Tokino Sora)",,Debut holomem,U,Red,120,#JP #Gen 0 #Singing #Summer,1,"Collab Effect: Ah, So You Want to Go to the Beach?
If you went second and it is your first turn, search 1~3 Debut holomem <Tokino Sora> with Extra from your deck, and place them on your stage. Shuffle your deck. If 3 Debut holomem were placed this way, return 1 card from your hand to the bottom of your deck.

Arts: Sure! I'm So Glad You Invited Me!
Cost: 1 any color
Power: 30",,
hEB01-006,"ときのそら
(Tokino Sora)",,1st holomem,C,Red,150,#JP #Gen 0 #Singing #Summer,1,"Gift: Me in a Yukata...... What Do You Think?
During your opponent's turn, if this holomem is downed, you may return 1 support card attached to this holomem to your hand.

Arts: Make Sure We Don't Get Separated, Okay?
Cost: 1 red, 1 any color
Power: 50+
If the target of this Arts is a 1st or greater holomem, this Arts gets +30.",,
hEB01-007,"ときのそら
(Tokino Sora)",,1st holomem,U,Red,160,#JP #Gen 0 #Singing #Summer,1,"Bloom Effect: A Special Tour Just for the Two of Us!
Draw 1 card, and return 1 card from your hand to the bottom of your deck.

Arts: Don't Look Away, Okay?
Cost: 1 any color
Power: 30",,
hEB01-008,"ときのそら
(Tokino Sora)",,1st holomem,R,Red,150,#JP #Gen 0 #Singing #Summer,1,"Bloom Effect: Want to Try My Masterpiece?
Reveal 1 <STAR STAR☆T> from your deck, and add it to your hand. Then, shuffle your deck.

Arts: Blame It on the Summer Heat
Cost: 2 red
Power: 70",,
hEB01-009,"ときのそら
(Tokino Sora)",,2nd holomem,R,Red,210,#JP #Gen 0 #Singing #Summer,2,"Collab Effect: This Song is Just for You.
Reveal 1 2nd holomem <Tokino Sora> from your deck, and add it to your hand. Then, shuffle your deck.

Arts: Do You Realize You're More Special Than Anyone Else?
Cost: 1 red, 1 any color
Power: 50, +50 vs purple
Return 1~3 holomem from your archive to your deck and shuffle it. Then, draw 1 card.",,
hEB01-010,"ときのそら
(Tokino Sora)",,2nd holomem,RR,Red,210,#JP #Gen 0 #Singing #Summer,2,"Bloom Effect: Even the Usual Path Feels Special Today
[Center Position Only] You may roll a die once. If it's odd, choose 1 of your opponent's back holomem. Swap your opponent's center holomem and the chosen holomem.

Arts: Looking Back, It Was Always You.
Cost: 1 red, 2 any color
Power: 100, +50 vs green
You may rest 1 of your active back 2nd holomem <Tokino Sora>: After this holomem used Arts, use the same Arts once more.",,UR
