Setcode,"Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text,,,,,,,,,
hSD01-001,"ときのそら
(Tokino Sora)",,1,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -1: Replacement
[1/Turn]Reattach 1 cheer from your stage to 1 of your holomem.

SP Oshi Skill holo Power -2: So, that Makes You My Enemy?
[1/Game]Swap your opponent's center holomem with 1 back holomem. During this turn, your white center holomem gets Arts+50.",,,,,,,,,
hSD01-002,AZKi,,1,Oshi holomem,OSR,Green,6,,"Oshi Skill holo Power -3: A Map in My Left Hand
[1/Turn]Usable if your holomem's ability would roll a die:Declare 1 of the face numbers of the die, and regard the next result as the declared number.

SP Oshi Skill holo Power -3: A Mic in My Right Hand
[1/Game]Send any number of cheers from your archive to 1 of your green holomem.",,,,,,,,,
hSD01-004,"ときのそら
(Tokino Sora)",,3,Debut holomem,R,White,50,#JP #Gen 0 #Singing,"Collab Effect: Let's Dance!
During this turn, your center holomem gets Arts+20.

Arts: On Stage!
Cost: 1 any color
Power: 20",,,,,,,,,
hSD01-005,"ときのそら
(Tokino Sora)",,3,1st holomem,U,White,150,#JP #Gen 0 #Singing,"Arts: Noon Noon Together!
Cost: 1 white
Power: 30

Arts: Your Heart… Will Turn from Cloudy to Sunny!
Cost: 1 white, 1 any color
Power: 50",,,,,,,,,
hSD01-006,"ときのそら
(Tokino Sora)",,2,1st Buzz holomem,RR,White,240,#JP #Gen 0 #Singing,"Arts: Dream Live
Cost: 1 white, 1 any color
Power: 50

Arts: SorAZ Sympathy
Cost: 1 white, 1 green, 1 any color
Power: 60+
If an <AZKi> holomem is on your stage, this Arts gets +50.

Extra: If this holomem is downed, you get Life-2",,,,,,,,,
hSD01-007,IRyS,,2,Debut holomem,C,White,50,#EN #Promise #Singing,"Collab Effect: HOPE
Look at your holo Power. Reveal 1 card from among them, and add it to hand. Then, put 1 card from your hand to holo Power.

Arts: Embodiment of Hope
Cost: 1 white
Power: 20",,,,,,,,,
hSD01-009,AZKi,,3,Debut holomem,R,Green,60,#JP #Gen 0 #Singing,"Collab Effect: Expanding Map
You may roll a die once:If it is 4 or less, send the top card of your cheer deck to your back holomem. Then, if it is 1, you may move this holomem to the back position.

Arts: And then and then
Cost: 1 any color
Power: 10",,,,,,,,,
hSD01-010,AZKi,,3,1st holomem,U,Green,160,#JP #Gen 0 #Singing,"Arts: A Journey with No Destination with You
Cost: 1 green, 1 any color
Power: 50",,,,,,,,,
hSD01-011,AZKi,,2,2nd holomem,RR,Green,190,#JP #Gen 0 #Singing,"Arts: SorAZ Gravity
Cost: 1 green
Power: 60, +50 vs Blue
If a <Tokino Sora> holomem is on your stage, send the top card of your cheer deck to your holomem.

Arts: Destiny Song
Cost: 2 green, 1 any color
Power: 100+, +50 vs Blue
You may roll a die once:If it is odd, this Arts gets +50. Then, if it is 1, this Arts gets +50.",,,,,,,,,
hSD01-012,"アイラニ・イオフィフティーン
(Airani Iofifteen)",,2,Debut holomem,C,Green,70,#ID #ID Gen 1 #Painting,"Collab Effect: Drawing together!
You may send 1 [white cheer or green cheer] from your archive to your center holomem.

Arts: Drawing is so fun!
Cost: 1 green
Power: 20",,,,,,,,,
hSD01-013,SorAZ,,2,1st holomem,R,"White/
Green",130,#JP #Gen 0 #Singing,"Arts: A Future I Want to Surpass
Cost: 2 any color
Power: 50
You may roll a die once:If it is odd, send the top card of your cheer deck to this holomem. If it is even, draw 1 card from your deck.

Extra: This holomem is also regarded as <Tokino Sora> <AZKi>",,,,,,,,,
hSD01-014,"天音かなた
(Amane Kanata)",,2,Spot holomem,U,None,150,#JP #Gen 4 #Singing,"Arts: Hey
Cost: 1 white, 1 green
Power: 30

Extra: This holomem cannot Bloom",,,,,,,,,
hSD01-015,"博衣こより
(Hakui Koyori)",,2,Spot holomem,U,None,50,#JP #holoX #Kemomimi,"Collab Effect: SoAzKo
■If collabing with <Tokino Sora>, draw 1 card from your deck.
■If collabing with <AZKi>, send the top card of your cheer deck to your center holomem.

Arts: Pure Pure Pure~
Cost: 1 any color
Power: 10

Extra: This holomem cannot Bloom",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,3,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,3,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hSD01-018,"サブパソコン
(Sub PC)",,"JP: 3
EN: 2",Support (Item),C,,,,"Look at the top 5 cards of your deck. Reveal 1 Limited support card from among them, and add it to hand. Then, return the rest to the bottom of the deck in any order.",,,,,,,,,
hSD01-019,"スゴイパソコン
(Amazing PC)",,"JP: 3
EN: 2",Support (Item),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you archive 1 cheer from your stage.

Reveal 1 [1st holomem or 2nd holomem] other than Buzz from your deck, and add it to hand. Then, shuffle the deck.",,,,,,,,,
hSD01-020,"ホロリスの輪
(Circle of hololive Listeners)",,2,Support (Event),C,,,,"Roll a die once:If it is 3 or greater, send 1 cheer from your archive to your holomem.",,,,,,,,,
hSD01-021,First Gravity,,2,Support (Event),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of <Tokino Sora> and/or <AZKi> from among them, and put the revealed holomem into hand. Then, return the rest to the bottom of the deck in any order.",,,,,,,,,
hY01-001,"白エール
(White Cheer)",,10,Cheer,C,White,,,,,,,,,,,,
hY02-001,"緑エール
(Green Cheer)",,10,Cheer,C,Green,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,JP exclusive cards,,,,,,,,,
hSD01-003,"ときのそら
(Tokino Sora)",,4,Debut holomem,C,White,60,#JP #Gen 0 #Singing,"Arts: (๑╹ᆺ╹)  nun nun
Cost: 1 any color
Power: 30",,,,,,,,,
hSD01-008,AZKi,,4,Debut holomem,C,Green,70,#JP #Gen 0 #Singing,"Arts: Keep working hard!
Cost: 1 any color
Power: 20",,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,EN exclusive cards,,,,,,,,,
hBP01-021,"ときのそら
(Tokino Sora)",,4,Debut holomem,C,White,100,#JP #Gen 0 #Singing,"Arts: Everyone~ Konsome~
Cost: 1 white
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hBP01-044,AZKi,,4,Debut holomem,C,Green,100,#JP #Gen 0 #Singing,"Arts: Konazuki
Cost: 1 any color
Power: 20

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hBP01-104,"ふつうのパソコン
(Normal PC)",,2,Support (Item),C,,,,"Reveal 1 Debut holomem from your deck, and place it on stage. Then, shuffle the deck.""Setcode,""Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text,
,SD02 Red: Nakiri Ayame,,,,,,,,,,,,,,,,,
hSD02-001,"百鬼あやめ
(Nakiri Ayame)",,1,Oshi holomem,OC,Red,5,,"Oshi Skill holo Power -2: Red Microphone
[1/Turn]During this turn, your red center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Now! Once more!
[1/Game]Return 1 red holomem from your archive to hand.",,,,,,,,,
